datetime,student,task
2019-09-30 19:03,Дмитрий,Самостоятельная работа №2. Установка Anaconda
2019-10-02 12:29,Екатерина,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-10-02 12:29,Екатерина,Самостоятельная работа №2. Установка Anaconda
2019-10-06 00:44,Екатерина,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-10-06 00:44,Екатерина,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-10-06 00:44,Екатерина,Самостоятельная работа №2. Установка Anaconda
2019-10-06 17:50,Светлана,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-10-06 17:50,Светлана,Самостоятельная работа №2. Установка Anaconda
2019-10-06 17:51,Светлана,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-10-06 17:51,Светлана,Лабораторная работа №1. Python
2019-10-08 12:23,Максим,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-10-08 12:23,Максим,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-10-08 12:24,Максим,Самостоятельная работа №2. Установка Anaconda
2019-10-08 12:24,Максим,Лабораторная работа №1. Python
2019-10-08 12:24,Максим,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-10-08 19:39,Кирилл,Самостоятельная работа №2. Установка Anaconda
2019-10-08 19:39,Кирилл,Лабораторная работа №3 (часть 1)
2019-10-08 19:39,Кирилл,Лабораторная работа №3 (часть 2)
2019-10-08 20:04,Степан,Самостоятельная работа №1. Задачи анализа данных и типы данных
2019-10-08 20:04,Степан,Самостоятельная работа №2. Установка Anaconda
2019-10-08 20:05,Степан,Лабораторная работа №3 (часть 1)
2019-10-08 20:05,Степан,Лабораторная работа №2. Линейная алгебра и библиотека numpy
2019-10-08 20:29,Екатерина,Лабораторная работа №3 (часть 1)
2019-10-08 20:37,Максим,Лабораторная работа №3 (часть 2)
2019-10-08 20:37,Максим,Лабораторная работа №3 (часть 1)
2019-10-08 20:38,Максим,Лабораторная работа №3 (часть 1)
